Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit_Ratio,Sales_per_Item,Discount_Amount,Shipping_Time,Order_Month,Order_Year,Order_Day,Is_Weekend,Profit_per_Item,Sales_Category,Category_encoded,Region_encoded,Segment_encoded
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,0.05151040148961151,-0.8043033970404823,-0.7566434880210966,0.05659250781445818,0.16000000000000003,130.98,0.0,-0.5483183132441767,11,2016,Tuesday,0,20.9568,High,0,2,0
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",0.8056334816212417,-0.35486486474959156,-0.7566434880210966,0.8150540793200997,0.3,243.98000000000002,0.0,-0.5483183132441767,11,2016,Tuesday,0,73.194,High,0,2,0
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,-0.3453677691554316,-0.8043033970404823,-0.7566434880210966,-0.09300169172251628,0.47000000000000003,7.31,0.0,0.023934529546372672,6,2016,Sunday,1,3.4357,Low,1,3,1
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1.1676881360601552,0.5440121998321898,1.423149322564634,-1.7574844418222597,-0.4,191.5155,430.909875,1.7406930579180206,10,2015,Sunday,1,-76.6062,High,0,2,0
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,-0.33293544091835797,-0.8043033970404823,0.2121533166836726,-0.11159306837647989,0.1125,11.184,4.4736,1.7406930579180206,10,2015,Sunday,1,1.2582,Low,1,2,0
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",-0.29042676259407363,1.4428892644139713,-0.7566434880210966,-0.06184672804384202,0.29,6.9799999999999995,0.0,0.596187372336922,6,2014,Monday,0,2.0242,Medium,0,3,0
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,-0.3571454265199283,0.09457366754129916,-0.7566434880210966,-0.11394441860862758,0.27,1.82,0.0,0.596187372336922,6,2014,Monday,0,0.4914,Low,1,3,0
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,1.0867761113417045,0.9934507321230805,0.2121533166836726,0.26492521204317704,0.09999999999999999,151.192,181.43040000000002,0.596187372336922,6,2014,Monday,0,15.1192,High,2,3,0
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,-0.33913555918217475,-0.35486486474959156,0.2121533166836726,-0.09765017623193098,0.31249999999999994,6.168,3.7008000000000005,0.596187372336922,6,2014,Monday,0,1.9275,Low,1,3,0
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,-0.18445993802304328,0.5440121998321898,-0.7566434880210966,0.024815981692427495,0.3,22.98,0.0,0.596187372336922,6,2014,Monday,0,6.894,Medium,1,3,0
